drug,targets,S1,S2,S3,S4,S5,S6,S7,S8
D00509,hsa10161,1,0.176471,0.176471,0.176471,6,0.0712338179108205,0.0620960021164102,0.0851716837773411
D00513,hsa10161,1,0.230769,0.230769,0.230769,19,0.0782291967890558,0.0510498887678421,0.101213429684293
D00514,hsa10161,1,0.318182,0.318182,0.318182,1,0.06715938795976,0.06715938795976,0.06715938795976
D00520,hsa10161,1,0.342857,0.342857,0.342857,1,0.07447299209029,0.07447299209029,0.07447299209029
D00521,hsa10161,1,0.166667,0.166667,0.166667,1,0.07447299209029,0.07447299209029,0.07447299209029
D00522,hsa10161,1,0.175,0.175,0.175,1,0.249561759959821,0.249561759959821,0.249561759959821
D00523,hsa10161,1,0.15,0.15,0.15,1,0.249561759959821,0.249561759959821,0.249561759959821
D00524,hsa10161,1,0.136364,0.136364,0.136364,3,0.111099259697802,0.0723507439571625,0.187373548326394
D00525,hsa10161,1,0.26087,0.26087,0.26087,1,0.0723507439571625,0.0723507439571625,0.0723507439571625
D00540,hsa10161,1,0.117647,0.117647,0.117647,2,0.072962115383506,0.0723507439571625,0.0735734868098495
D00542,hsa10161,1,0,0,0,1,0.220932125548993,0.220932125548993,0.220932125548993
D00559,hsa10161,1,0.148148,0.148148,0.148148,1,0.0836486581373446,0.0836486581373446,0.0836486581373446
D00560,hsa10161,1,0.142857,0.142857,0.142857,5,0.110524090476369,0.0836486581373446,0.200516477620151
D00563,hsa10161,1,0.214286,0.214286,0.214286,4,0.0732382183921524,0.0630705310282227,0.0869484748078567
D00574,hsa10161,1,0.192308,0.192308,0.192308,1,0.220932125548993,0.220932125548993,0.220932125548993
D00598,hsa10161,1,0.121212,0.121212,0.121212,2,0.0881571883651364,0.0751009470459799,0.101213429684293
D00601,hsa10161,1,0.127273,0.127273,0.127273,2,0.0881571883651364,0.0751009470459799,0.101213429684293
D00604,hsa10161,1,0.16,0.16,0.16,4,0.0651986984055366,0.0620960021164102,0.0684688725177537
D00606,hsa10161,1,0.153846,0.153846,0.153846,3,0.0662329305019121,0.0630705310282227,0.0684688725177537
D00607,hsa10161,1,0,0,0,6,0.0712338179108205,0.0620960021164102,0.0851716837773411
D00609,hsa10161,1,0.194444,0.194444,0.194444,6,0.0712338179108205,0.0620960021164102,0.0851716837773411
D00613,hsa10161,1,0.176471,0.176471,0.176471,5,0.0757477193069228,0.0630705310282227,0.0963639089480537
D00627,hsa10161,1,0.177778,0.177778,0.177778,1,0.249561759959821,0.249561759959821,0.249561759959821
D00632,hsa10161,1,0.15625,0.15625,0.15625,2,0.0881571883651364,0.0751009470459799,0.101213429684293
D00635,hsa10161,1,0.132075,0.132075,0.132075,2,0.0881571883651364,0.0751009470459799,0.101213429684293
D00645,hsa10161,1,0.225806,0.225806,0.225806,2,0.0881571883651364,0.0751009470459799,0.101213429684293
D00646,hsa10161,1,0.225806,0.225806,0.225806,2,0.072962115383506,0.0723507439571625,0.0735734868098495
D00665,hsa10161,1,0.205882,0.205882,0.205882,1,0.07447299209029,0.07447299209029,0.07447299209029
D00666,hsa10161,1,0.15,0.15,0.15,1,0.07447299209029,0.07447299209029,0.07447299209029
D00673,hsa10161,1,0.16129,0.16129,0.16129,1,0.112276086326549,0.112276086326549,0.112276086326549
D00674,hsa10161,1,0.1875,0.1875,0.1875,1,0.0887684691329894,0.0887684691329894,0.0887684691329894
D00675,hsa10161,1,0.194444,0.194444,0.194444,2,0.0838941107132478,0.0805251802695563,0.0872630411569393
D00676,hsa10161,1,0.2,0.2,0.2,3,0.0855188968531617,0.0805251802695563,0.0887684691329894
D00682,hsa10161,1,0.043478,0.043478,0.043478,1,0.0291380031954652,0.0291380031954652,0.0291380031954652
D00683,hsa10161,1,0.152174,0.152174,0.152174,1,0.101213429684293,0.101213429684293,0.101213429684293
D00684,hsa10161,1,0.152174,0.152174,0.152174,1,0.101213429684293,0.101213429684293,0.101213429684293
D00687,hsa10161,1,0.09434,0.09434,0.09434,1,0.101213429684293,0.101213429684293,0.101213429684293
D00688,hsa10161,1,0.159091,0.159091,0.159091,1,0.101213429684293,0.101213429684293,0.101213429684293
D00715,hsa10161,1,0.117647,0.117647,0.117647,1,0.0723507439571625,0.0723507439571625,0.0723507439571625
D00726,hsa10161,1,0.214286,0.214286,0.214286,15,0.0867955497201594,0.0510498887678421,0.187373548326394
D00760,hsa10161,1,0.097561,0.097561,0.097561,1,0.0735734868098495,0.0735734868098495,0.0735734868098495
D00765,hsa10161,1,0.06,0.06,0.06,1,0.0735734868098495,0.0735734868098495,0.0735734868098495
D00769,hsa10161,1,0.142857,0.142857,0.142857,1,0.215611483622976,0.215611483622976,0.215611483622976
D00775,hsa10161,1,0.16,0.16,0.16,8,0.0200393711917808,0.015078964528542,0.0232240415856486
D00779,hsa10161,1,0.057143,0.057143,0.057143,2,0.072962115383506,0.0723507439571625,0.0735734868098495
D00780,hsa10161,1,0.148148,0.148148,0.148148,1,0.0884155115954717,0.0884155115954717,0.0884155115954717
D00790,hsa10161,1,0.25,0.25,0.25,2,0.0923897102717627,0.0884155115954717,0.0963639089480537
D00837,hsa10161,1,0.066667,0.066667,0.066667,2,0.207941403612446,0.204745519475492,0.2111372877494
D00838,hsa10161,1,0.142857,0.142857,0.142857,2,0.207941403612446,0.204745519475492,0.2111372877494
D00845,hsa10161,1,0.102041,0.102041,0.102041,1,0.204745519475492,0.204745519475492,0.204745519475492
D00954,hsa10161,1,0.057143,0.057143,0.057143,1,0.0851716837773411,0.0851716837773411,0.0851716837773411
D00965,hsa10161,1,0.241379,0.241379,0.241379,1,0.0851716837773411,0.0851716837773411,0.0851716837773411
D00987,hsa10161,1,0.175,0.175,0.175,1,0.0884155115954717,0.0884155115954717,0.0884155115954717
D00996,hsa10161,1,0.166667,0.166667,0.166667,9,0.0760754253026439,0.0620960021164102,0.101213429684293
D01020,hsa10161,1,0.25,0.25,0.25,3,0.0762347053197288,0.0620960021164102,0.0851716837773411
D01022,hsa10161,1,0.259259,0.259259,0.259259,6,0.0712338179108205,0.0620960021164102,0.0851716837773411
D01024,hsa10161,1,0.194444,0.194444,0.194444,3,0.0762347053197288,0.0620960021164102,0.0851716837773411
D01051,hsa10161,1,0.102564,0.102564,0.102564,6,0.0788937092856475,0.0620960021164102,0.0869484748078567
D01071,hsa10161,1,0.148148,0.148148,0.148148,1,0.220932125548993,0.220932125548993,0.220932125548993
D01103,hsa10161,1,0.073171,0.073171,0.073171,1,0.0723507439571625,0.0723507439571625,0.0723507439571625
D01118,hsa10161,1,0.233333,0.233333,0.233333,1,0.0723507439571625,0.0723507439571625,0.0723507439571625
D01126,hsa10161,1,0,0,0,1,0.0231882789684816,0.0231882789684816,0.0231882789684816
D01164,hsa10161,1,0.128205,0.128205,0.128205,6,0.0824347511682214,0.0753120380999542,0.0884155115954717
D01227,hsa10161,1,0.173913,0.173913,0.173913,2,0.124235786723134,0.123286934107555,0.125184639338713
D01236,hsa10161,1,0.12766,0.12766,0.12766,2,0.0675838036944643,0.0555301567095442,0.0796374506793844
D01242,hsa10161,1,0.333333,0.333333,0.333333,1,0.07447299209029,0.07447299209029,0.07447299209029
D01269,hsa10161,1,0.088889,0.088889,0.088889,1,0.0723507439571625,0.0723507439571625,0.0723507439571625
D01295,hsa10161,1,0.105263,0.105263,0.105263,5,0.0853153933703968,0.07447299209029,0.0963639089480537
D01297,hsa10161,1,0.2,0.2,0.2,1,0.0723507439571625,0.0723507439571625,0.0723507439571625
D01324,hsa10161,1,0.121212,0.121212,0.121212,1,0.07447299209029,0.07447299209029,0.07447299209029
D01332,hsa10161,1,0.157895,0.157895,0.157895,1,0.07447299209029,0.07447299209029,0.07447299209029
D01346,hsa10161,1,0.1,0.1,0.1,1,0.0225351595694525,0.0225351595694525,0.0225351595694525
D01352,hsa10161,1,0.021739,0.021739,0.021739,2,0.0626646149741786,0.0515331604553858,0.0737960694929714
D01358,hsa10161,1,0.166667,0.166667,0.166667,4,0.0789131476917608,0.0620960021164102,0.0869484748078567
D01386,hsa10161,1,0.173913,0.173913,0.173913,1,0.101213429684293,0.101213429684293,0.101213429684293
D01390,hsa10161,1,0.2,0.2,0.2,3,0.0857586400862908,0.0751009470459799,0.101213429684293
D01441,hsa10161,1,0.166667,0.166667,0.166667,1,0.0681531052900503,0.0681531052900503,0.0681531052900503
D01454,hsa10161,1,0.222222,0.222222,0.222222,3,0.0857586400862908,0.0751009470459799,0.101213429684293
D01462,hsa10161,1,0.175,0.175,0.175,1,0.0884155115954717,0.0884155115954717,0.0884155115954717
D01603,hsa10161,1,0.146341,0.146341,0.146341,6,0.0712338179108205,0.0620960021164102,0.0851716837773411
D01652,hsa10161,1,0.153846,0.153846,0.153846,1,0.253498053076115,0.253498053076115,0.253498053076115
D01692,hsa10161,1,0.228571,0.228571,0.228571,1,0.0851716837773411,0.0851716837773411,0.0851716837773411
D01699,hsa10161,1,0.093023,0.093023,0.093023,1,0.0651250231418305,0.0651250231418305,0.0651250231418305
D01712,hsa10161,1,0.684211,0.684211,0.684211,2,0.0773592905400556,0.0729146728660378,0.0818039082140734
D01713,hsa10161,1,0.133333,0.133333,0.133333,8,0.0790789485214831,0.0620960021164102,0.112276086326549
D01717,hsa10161,1,0.121951,0.121951,0.121951,2,0.0805014769267514,0.07447299209029,0.0865299617632129
D01745,hsa10161,1,0.189189,0.189189,0.189189,1,0.0884155115954717,0.0884155115954717,0.0884155115954717
D01782,hsa10161,1,0.15625,0.15625,0.15625,1,0.07447299209029,0.07447299209029,0.07447299209029
D01828,hsa10161,1,0.285714,0.285714,0.285714,1,0.282628289766019,0.282628289766019,0.282628289766019
D01871,hsa10161,1,0.151515,0.151515,0.151515,5,0.0714397413214147,0.0651250231418305,0.0763493782537088
D01891,hsa10161,1,0.102564,0.102564,0.102564,1,0.0552261300762489,0.0552261300762489,0.0552261300762489
D01925,hsa10161,1,0.146341,0.146341,0.146341,1,0.072488647423117,0.072488647423117,0.072488647423117
D01964,hsa10161,1,0.113636,0.113636,0.113636,1,0.0737960694929714,0.0737960694929714,0.0737960694929714
D01965,hsa10161,1,0.139535,0.139535,0.139535,3,0.0762347053197288,0.0620960021164102,0.0851716837773411
D01973,hsa10161,1,0.166667,0.166667,0.166667,7,0.0837016110398196,0.0753120380999542,0.0887684691329894
D01994,hsa10161,1,0.09434,0.09434,0.09434,1,0.0839172445662167,0.0839172445662167,0.0839172445662167
D02007,hsa10161,1,0.085106,0.085106,0.085106,1,0.072488647423117,0.072488647423117,0.072488647423117
D02066,hsa10161,1,0.159091,0.159091,0.159091,3,0.0857586400862908,0.0751009470459799,0.101213429684293
D02070,hsa10161,1,0.125,0.125,0.125,5,0.0714397413214147,0.0651250231418305,0.0763493782537088
D02076,hsa10161,1,0.138889,0.138889,0.138889,3,0.0662329305019121,0.0630705310282227,0.0684688725177537
D02082,hsa10161,1,0.166667,0.166667,0.166667,1,0.249561759959821,0.249561759959821,0.249561759959821
D02147,hsa10161,1,0.24,0.24,0.24,1,0.101213429684293,0.101213429684293,0.101213429684293
D02149,hsa10161,1,0.121212,0.121212,0.121212,9,0.0760754253026439,0.0620960021164102,0.101213429684293
D02150,hsa10161,1,0.2,0.2,0.2,3,0.0857586400862908,0.0751009470459799,0.101213429684293
D02234,hsa10161,1,0.105263,0.105263,0.105263,3,0.0762347053197288,0.0620960021164102,0.0851716837773411
D02237,hsa10161,1,0,0,0,6,0.0712338179108205,0.0620960021164102,0.0851716837773411
D02250,hsa10161,1,0.094118,0.094118,0.094118,3,0.188754689435115,0.161457603263996,0.2132716637093
D02278,hsa10161,1,0.037037,0.037037,0.037037,1,0.0231882789684816,0.0231882789684816,0.0231882789684816
D02279,hsa10161,1,0,0,0,1,0.0231882789684816,0.0231882789684816,0.0231882789684816
D02327,hsa10161,1,0.2,0.2,0.2,2,0.0734118680237262,0.0723507439571625,0.07447299209029
D02338,hsa10161,1,0.1875,0.1875,0.1875,3,0.0857586400862908,0.0751009470459799,0.101213429684293
D02340,hsa10161,1,0.15625,0.15625,0.15625,3,0.0863375481802243,0.0836486581373446,0.0884155115954717
D02342,hsa10161,1,0.15625,0.15625,0.15625,2,0.0881571883651364,0.0751009470459799,0.101213429684293
D02349,hsa10161,1,0.181818,0.181818,0.181818,1,0.06715938795976,0.06715938795976,0.06715938795976
D02354,hsa10161,1,0.171429,0.171429,0.171429,11,0.0761784379802604,0.0587887439613484,0.0963639089480537
D02356,hsa10161,1,0.175,0.175,0.175,7,0.0721226093877402,0.0620960021164102,0.0851716837773411
D02357,hsa10161,1,0.25,0.25,0.25,1,0.0869484748078567,0.0869484748078567,0.0869484748078567
D02358,hsa10161,1,0.178571,0.178571,0.178571,1,0.0751009470459799,0.0751009470459799,0.0751009470459799
D02359,hsa10161,1,0.166667,0.166667,0.166667,1,0.101213429684293,0.101213429684293,0.101213429684293
D02361,hsa10161,1,0.225806,0.225806,0.225806,14,0.0761904952672893,0.0587887439613484,0.0963639089480537
D02374,hsa10161,1,0.241379,0.241379,0.241379,3,0.0857586400862908,0.0751009470459799,0.101213429684293
D02566,hsa10161,1,0.166667,0.166667,0.166667,4,0.0817964466739497,0.07447299209029,0.0851716837773411
D02578,hsa10161,1,0.28,0.28,0.28,2,0.0962922368436497,0.0757744797727704,0.116809993914529
D02588,hsa10161,1,0.135135,0.135135,0.135135,1,0.072488647423117,0.072488647423117,0.072488647423117
D02614,hsa10161,1,0.193548,0.193548,0.193548,1,0.0751009470459799,0.0751009470459799,0.0751009470459799
D02671,hsa10161,1,0.176471,0.176471,0.176471,5,0.0878104899139101,0.0836486581373446,0.0963639089480537
D02721,hsa10161,1,0.052632,0.052632,0.052632,2,0.0403355818254255,0.0291380031954652,0.0515331604553858
D02725,hsa10161,1,0.095238,0.095238,0.095238,2,0.0421820666358571,0.0291380031954652,0.0552261300762489
D02826,hsa10161,1,0.085714,0.085714,0.085714,2,0.0838941107132478,0.0805251802695563,0.0872630411569393
D02884,hsa10161,1,0.65,0.65,0.65,2,0.0773592905400556,0.0729146728660378,0.0818039082140734
D02910,hsa10161,1,0.216216,0.216216,0.216216,2,0.0801363154116605,0.0751009470459799,0.0851716837773411
D03165,hsa10161,1,0.163265,0.163265,0.163265,1,0.0884155115954717,0.0884155115954717,0.0884155115954717
D03187,hsa10161,1,0.075,0.075,0.075,1,0.0275494809907598,0.0275494809907598,0.0275494809907598
D03210,hsa10161,1,0.162791,0.162791,0.162791,1,0.226616975988466,0.226616975988466,0.226616975988466
D03274,hsa10161,1,0.152174,0.152174,0.152174,3,0.0662329305019121,0.0630705310282227,0.0684688725177537
D03365,hsa10161,1,0.181818,0.181818,0.181818,1,0.187373548326394,0.187373548326394,0.187373548326394
D03415,hsa10161,1,0.089744,0.089744,0.089744,3,0.0857586400862908,0.0751009470459799,0.101213429684293
D03442,hsa10161,1,0.069307,0.069307,0.069307,2,0.0900694224011594,0.0823033813259645,0.0978354634763544
D03490,hsa10161,1,0.117647,0.117647,0.117647,2,0.0881571883651364,0.0751009470459799,0.101213429684293
D03503,hsa10161,1,0.185185,0.185185,0.185185,1,0.112276086326549,0.112276086326549,0.112276086326549
D03621,hsa10161,1,0.133333,0.133333,0.133333,4,0.0713805614997831,0.0651250231418305,0.07447299209029
D03642,hsa10161,1,0.121212,0.121212,0.121212,1,0.0569551272630966,0.0569551272630966,0.0569551272630966
D03654,hsa10161,1,0.095238,0.095238,0.095238,1,0.0651250231418305,0.0651250231418305,0.0651250231418305
D03858,hsa10161,1,0.088235,0.088235,0.088235,3,0.0703497513029475,0.0651250231418305,0.0735734868098495
D03879,hsa10161,1,0.16129,0.16129,0.16129,3,0.0857586400862908,0.0751009470459799,0.101213429684293
D03880,hsa10161,1,0.090909,0.090909,0.090909,2,0.0881571883651364,0.0751009470459799,0.101213429684293
D03881,hsa10161,1,0.121951,0.121951,0.121951,2,0.0881571883651364,0.0751009470459799,0.101213429684293
D03966,hsa10161,1,0,0,0,4,0.0207715499234264,0.0158595018068263,0.0229181993887437
D04006,hsa10161,1,0.555556,0.555556,0.555556,1,0.0794769584335616,0.0794769584335616,0.0794769584335616
D04034,hsa10161,1,0.134615,0.134615,0.134615,3,0.0662329305019121,0.0630705310282227,0.0684688725177537
D04040,hsa10161,1,0.157895,0.157895,0.157895,1,0.249561759959821,0.249561759959821,0.249561759959821
D04375,hsa10161,1,0.166667,0.166667,0.166667,1,0.06715938795976,0.06715938795976,0.06715938795976
D04625,hsa10161,1,0.24,0.24,0.24,1,0.0751009470459799,0.0751009470459799,0.0751009470459799
D04716,hsa10161,1,0.176471,0.176471,0.176471,1,0.204745519475492,0.204745519475492,0.204745519475492
D04979,hsa10161,1,0.206897,0.206897,0.206897,1,0.07447299209029,0.07447299209029,0.07447299209029
D05113,hsa10161,1,0.147059,0.147059,0.147059,1,0.204745519475492,0.204745519475492,0.204745519475492
D05129,hsa10161,1,0.28125,0.28125,0.28125,4,0.158871101053018,0.0226146591339734,0.282628289766019
D05246,hsa10161,1,0.205128,0.205128,0.205128,1,0.249561759959821,0.249561759959821,0.249561759959821
D05312,hsa10161,1,0.233333,0.233333,0.233333,3,0.205466428281681,0.200516477620151,0.2111372877494
D05341,hsa10161,1,0.032258,0.032258,0.032258,1,0.101588347055062,0.101588347055062,0.101588347055062
D05740,hsa10161,1,0.153846,0.153846,0.153846,2,0.0838941107132478,0.0805251802695563,0.0872630411569393
D05792,hsa10161,1,0.1,0.1,0.1,1,0.101213429684293,0.101213429684293,0.101213429684293
D05938,hsa10161,1,0.138889,0.138889,0.138889,1,0.204745519475492,0.204745519475492,0.204745519475492
D06056,hsa10161,1,0.2,0.2,0.2,1,0.0839172445662167,0.0839172445662167,0.0839172445662167
D06396,hsa10161,1,0.125,0.125,0.125,1,0.0839172445662167,0.0839172445662167,0.0839172445662167
D00049,hsa10800,3,0.192874666666667,0.086957,0.291667,1,0.1928003698208,0.1928003698208,0.1928003698208
D00059,hsa10800,3,0.249829333333333,0.122449,0.384615,2,0.0830729304246396,0.081796119900014,0.0843497409492652
D00079,hsa10800,3,0.121794,0.064516,0.181818,1,0.0845511878342215,0.0845511878342215,0.0845511878342215
D00094,hsa10800,3,0.115701333333333,0.105263,0.128205,1,0.0229488456224644,0.0229488456224644,0.0229488456224644
D00095,hsa10800,3,0.212011333333333,0.173913,0.25,3,0.0929974828013997,0.0831234748701186,0.102067566596709
D00106,hsa10800,3,0.127611,0.081967,0.181818,1,0.190752369057333,0.190752369057333,0.190752369057333
D00110,hsa10800,3,0.177177,0.113636,0.26,3,0.124787705966871,0.0843497409492652,0.199925975833134
D00113,hsa10800,3,0.171054666666667,0.116279,0.265306,5,0.0534319234060916,0.0468766963124966,0.0657263192184228
D00136,hsa10800,3,0.231002333333333,0.2,0.288462,4,0.0776114306340582,0.0677921859844654,0.0900874011182138
D00139,hsa10800,3,0.284168333333333,0.23913,0.310345,1,0.201348565371481,0.201348565371481,0.201348565371481
D00180,hsa10800,3,0.121794,0.064516,0.181818,3,0.0539766424468244,0.038200209003268,0.0845511878342215
D00225,hsa10800,3,0.281349,0.225,0.333333,1,0.201348565371481,0.201348565371481,0.201348565371481
D00227,hsa10800,3,0.265754666666667,0.20339,0.325581,3,0.0771019113014092,0.0692817501957569,0.0892932253412544
D00232,hsa10800,3,0.119122333333333,0.04878,0.192308,3,0.0501661535965745,0.0468766963124966,0.0555506573542838
D00234,hsa10800,3,0.302607,0.22,0.415094,3,0.0665975103364761,0.0585349671608797,0.0781076893781095
D00235,hsa10800,3,0.207303666666667,0.179487,0.242424,2,0.0925955207334138,0.0831234748701186,0.102067566596709
D00241,hsa10800,3,0.249829333333333,0.122449,0.384615,1,0.0167831585626072,0.0167831585626072,0.0167831585626072
D00255,hsa10800,3,0.28087,0.238095,0.365385,8,0.0780404973259675,0.0595570921353658,0.102067566596709
D00270,hsa10800,3,0.320065333333333,0.297297,0.34375,7,0.0768303329923895,0.064484087351149,0.0900874011182138
D00274,hsa10800,3,0.308081333333333,0.255319,0.351852,3,0.058516762994199,0.0468766963124966,0.0731229353158166
D00281,hsa10800,3,0.138410333333333,0.108108,0.16129,6,0.0712087757942431,0.0546303395505744,0.0938014069373714
D00283,hsa10800,3,0.279519666666667,0.219512,0.333333,25,0.0704562563363092,0.040255582737515,0.0938014069373714
D00295,hsa10800,3,0.136478666666667,0.114286,0.157895,1,0.0940626669985034,0.0940626669985034,0.0940626669985034
D00300,hsa10800,3,0.234316666666667,0.210526,0.25,3,0.0665975103364761,0.0585349671608797,0.0781076893781095
D00301,hsa10800,3,0.207316,0.136986,0.342105,1,0.197531600696857,0.197531600696857,0.197531600696857
D00306,hsa10800,3,0.222165666666667,0.216216,0.230769,1,0.0394934955988783,0.0394934955988783,0.0394934955988783
D00318,hsa10800,3,0.117980333333333,0.105263,0.12963,3,0.0784400769490173,0.063149874470439,0.0940626669985034
D00332,hsa10800,3,0.117262,0.104167,0.133333,2,0.080031620437397,0.0707700155335396,0.0892932253412544
D00336,hsa10800,3,0.289929666666667,0.222222,0.423077,1,0.0622957195194584,0.0622957195194584,0.0622957195194584
D00356,hsa10800,3,0.155853,0.115385,0.2,1,0.0983547138689437,0.0983547138689437,0.0983547138689437
D00364,hsa10800,3,0.292249,0.227273,0.36,1,0.0585349671608797,0.0585349671608797,0.0585349671608797
D00371,hsa10800,3,0.231744,0.148936,0.296296,1,0.094556230398429,0.094556230398429,0.094556230398429
D00380,hsa10800,3,0.214430333333333,0.176471,0.282609,1,0.201348565371481,0.201348565371481,0.201348565371481
D00394,hsa10800,3,0.277206,0.225,0.3125,1,0.201348565371481,0.201348565371481,0.201348565371481
